rgi_id,glac_name,cenlon,cenlat,area_km2,mean_dh,median_dh,std_dh,n_pixels,dh_rate,region
RGI2000-v7.0-G-15-14527,,97.08207683630323,29.298438,0.205100010031891,-4.25078010559082,-5.03076171875,7.192317485809326,303,-0.5313475131988525,Arunachal Pradesh
RGI2000-v7.0-G-15-14528,,97.07917492822779,29.2918075,0.366638263082148,-3.9840331077575684,-3.93701171875,4.8197479248046875,514,-0.49800413846969604,Arunachal Pradesh
RGI2000-v7.0-G-15-14529,,97.08640864026404,29.2866605,0.383448895044067,-4.120259761810303,-4.35009765625,5.554922580718994,544,-0.5150324702262878,Arunachal Pradesh
RGI2000-v7.0-G-15-14530,,97.08655870753844,29.278952500000003,0.645762625311654,-4.721642971038818,-5.124755859375,4.849234104156494,876,-0.5902053713798523,Arunachal Pradesh
RGI2000-v7.0-G-15-14531,,97.0889379904661,29.2748475,0.117232978656492,-4.3748955726623535,-4.73974609375,3.9349520206451416,187,-0.5468619465827942,Arunachal Pradesh
RGI2000-v7.0-G-15-14532,,97.07809276162791,29.270195,1.294244116244765,-4.600053310394287,-4.7138671875,5.456417560577393,1694,-0.5750066637992859,Arunachal Pradesh
RGI2000-v7.0-G-15-14533,,97.07372459,29.281080000000003,0.791125054214165,-6.912250518798828,-6.322021484375,6.359736442565918,1034,-0.8640313148498535,Arunachal Pradesh
RGI2000-v7.0-G-15-14534,,97.06530728200292,29.274138999999998,1.180194755349008,-6.993678569793701,-6.71337890625,4.866998195648193,1530,-0.8742098212242126,Arunachal Pradesh
RGI2000-v7.0-G-15-14535,,97.05512439570786,29.2866505,0.305690697848648,-3.9152941703796387,-4.82470703125,4.895070552825928,425,-0.48941177129745483,Arunachal Pradesh
RGI2000-v7.0-G-15-14536,,97.04830826991002,29.2868495,0.124923451412182,-1.0149723291397095,-0.918212890625,8.043773651123047,196,-0.12687154114246368,Arunachal Pradesh
RGI2000-v7.0-G-15-14537,,97.04722296472107,29.2952375,0.133524274891975,2.4709362983703613,3.01220703125,19.838388442993164,199,0.30886703729629517,Arunachal Pradesh
RGI2000-v7.0-G-15-14538,,97.05363180917101,29.295296,0.38974087442894,-5.727905750274658,-6.79345703125,6.058943271636963,543,-0.7159882187843323,Arunachal Pradesh
RGI2000-v7.0-G-15-14539,,97.04821726392231,29.307952999999998,0.302253925010023,-1.961480975151062,-2.431640625,6.8482279777526855,425,-0.24518512189388275,Arunachal Pradesh
RGI2000-v7.0-G-15-14540,,97.07537409704429,29.313115,0.25245644571144,-5.509504318237305,-6.2978515625,20.407915115356445,381,-0.6886880397796631,Arunachal Pradesh
RGI2000-v7.0-G-15-14541,,97.1288533316598,29.248707500000002,0.117790794899381,-6.753786087036133,-8.92626953125,5.255344390869141,187,-0.8442232608795166,Arunachal Pradesh
RGI2000-v7.0-G-15-14542,,97.1298345926094,29.246530999999997,0.212007565374819,-5.970010757446289,-6.4365234375,4.296910285949707,311,-0.7462513446807861,Arunachal Pradesh
RGI2000-v7.0-G-15-14543,,97.1303962905397,29.2433625,0.037517820984147,-2.518773317337036,-1.99365234375,6.277982711791992,67,-0.3148466646671295,Arunachal Pradesh
RGI2000-v7.0-G-15-14544,,97.12951448311897,29.242390999999998,0.01739049869096,-3.65606689453125,-2.716064453125,3.1993675231933594,32,-0.45700836181640625,Arunachal Pradesh
RGI2000-v7.0-G-15-14545,,97.12606272536584,29.246562,0.289611367912034,-6.396155834197998,-7.3037109375,3.830329179763794,394,-0.7995194792747498,Arunachal Pradesh
